tanggal,komoditas,satuan,harga_lama,harga_sekarang,selisih,persen
2021-01-01,-Semen Dynamix,40 Kg,0,0,-,-
2021-01-01,IKAN SEGAR,,0,0,,
2021-01-01,-Ikan Bandeng,kg,31200,31200,0,"0,00%"
2021-01-01,-Ikan Kembung,kg,33200,33200,0,"0,00%"
2021-01-01,-Ikan Tuna,kg,34250,34250,0,"0,00%"
2021-01-01,-Ikan Tongkol,kg,33200,33200,0,"0,00%"
2021-01-01,-Ikan Cakalang,kg,33333,33333,0,"0,00%"
2021-01-01,-KAYU BALOK MERANTI (4 X 10),Btg,0,0,-,-
2021-01-01,-Papan Meranti (4m X 3cm X 20mm),Lembar,0,0,-,-
2021-01-01,-TRIPLEK (6MM),lembar,61500,61500,0,"0,00%"
2021-01-01,-Besi Beton 6 mm (12/9m),Btg,30666,30666,0,"0,00%"
2021-01-01,-Besi Beton 8 mm (12/9m),Btg,52500,52500,0,"0,00%"
2021-01-01,-Besi Beton 10 mm (12/9m),Btg,75033,75033,0,"0,00%"
2021-01-01,-Besi Beton 12 mm (12/9m),Btg,105333,105333,0,"0,00%"
2021-01-01,-Paku Ukuran 10Cm,Kg,17000,17000,0,"0,00%"
2021-01-01,-Paku Ukuran 2 Cm,Kg,18000,18000,0,"0,00%"
2021-01-01,-Paku Ukuran 3Cm,Kg,17000,17000,0,"0,00%"
2021-01-01,-Paku Ukuran 4Cm,kg,18000,18000,0,"0,00%"
2021-01-01,-Paku Ukuran 5Cm,Kg,18166,18166,0,"0,00%"
2021-01-01,-Paku Ukuran 7Cm,Kg,18500,18500,0,"0,00%"
2021-01-01,-GAS ELPIGI 3 Kg,Kg,20250,20250,0,"0,00%"
2021-01-01,-Pupuk KCL Non Subsidi,Kg,14000,14000,0,"0,00%"
2021-01-01,-Pupuk NPK Non Subsidi,Kg,21000,21000,0,"0,00%"
2021-01-01,-Pupuk SP 35 Non Subsidi,Kg,11400,11400,0,"0,00%"
2021-01-01,-Pupuk Urea Non Subsidi,Kg,9000,9000,0,"0,00%"
2021-01-01,-Pupuk ZA Non Subsidi,Kg,11500,11500,0,"0,00%"
2021-01-02,BERAS,,0,0,,
2021-01-02,-Beras Premium,kg,15120,15120,0,"0,00%"
2021-01-02,-Beras Medium,kg,12020,12020,0,"0,00%"
2021-01-02,GULA,,0,0,,
2021-01-02,-Gula Kristal Putih,kg,16700,16700,0,"0,00%"
2021-01-02,MINYAK GORENG,,0,0,,
2021-01-02,-Minyak Goreng Curah,kg,19440,19440,0,"0,00%"
2021-01-02,-Minyak Goreng Kemasan Premium,1 liter,21500,21500,0,"0,00%"
2021-01-02,-Minyak Goreng Kemasan Sederhana,1 Liter,18625,18625,0,"0,00%"
2021-01-02,-Minyak Goreng MINYAKITA,1 Liter,15700,15700,0,"0,00%"
2021-01-02,DAGING,,0,0,,
2021-01-02,-Daging Sapi Paha Belakang,kg,123000,123000,0,"0,00%"
2021-01-02,-Daging Ayam Ras,kg,36600,36600,0,"0,00%"
2021-01-02,-Daging Ayam Kampung,ekor,58333,58333,0,"0,00%"
2021-01-02,TELUR AYAM,,0,0,,
2021-01-02,-Telur Ayam Ras,kg,28800,28800,0,"0,00%"
2021-01-02,-Telur Ayam Kampung,kg,42600,42600,0,"0,00%"
2021-01-02,SUSU,,0,0,,
2021-01-02,-Susu Kental Manis Merk Bendera,370 gr/kl,12125,12125,0,"0,00%"
2021-01-02,-Susu Kental Manis Merk Indomilk,370 gr/kl,12000,12000,0,"0,00%"
2021-01-02,SUSU BUBUK,,0,0,,
2021-01-02,-Susu Bubuk Merk Bendera (Instant),400 gr/dos,40500,40500,0,"0,00%"
2021-01-02,-Susu Bubuk Merk Indomilk (Instant),400 gr/dos,40000,40000,0,"0,00%"
2021-01-02,-Jagung Pipilan Kering,kg,7375,7375,0,"0,00%"
2021-01-02,GARAM BERYODIUM,,0,0,,
2021-01-02,-Bata,Buah,1000,1000,0,"0,00%"
2021-01-02,-Halus,kg,9000,9000,0,"0,00%"
2021-01-02,TEPUNG TERIGU,,0,0,,
2021-01-02,-Terigu Protein Sedang (Kemasan),kg,12000,12000,0,"0,00%"
2021-01-02,-Kedelai Impor,kg,11600,11600,0,"0,00%"
2021-01-02,-Kedelai Lokal,kg,0,0,-,-
2021-01-02,-Indomie Rasa Kari Ayam,Bungkus,2975,2975,0,"0,00%"
2021-01-02,-Cabe Merah Keriting,kg,28000,28000,0,"0,00%"
2021-01-02,-Cabe Merah Besar,kg,30400,30400,0,"0,00%"
2021-01-02,-Cabe Rawit Merah,kg,99600,98600,-1000,"-1,00%"
2021-01-02,BAWANG,,0,0,,
2021-01-02,-Bawang Merah,kg,38400,38400,0,"0,00%"
2021-01-02,-Bawang Putih Sinco/Honan,kg,30600,30600,0,"0,00%"
2021-01-02,-Ikan Asin Teri,kg,110000,110000,0,"0,00%"
2021-01-02,-KACANG HIJAU,kg,26400,26400,0,"0,00%"
2021-01-02,-KACANG TANAH,kg,33200,32800,-400,"-1,20%"
2021-01-02,-KETELA POHON,kg,3375,3375,0,"0,00%"
2021-01-02,-KOL/KUBIS,kg,8200,8200,0,"0,00%"
2021-01-02,-KENTANG,kg,13600,13600,0,"0,00%"
2021-01-02,-Tomat Merah,kg,8800,8800,0,"0,00%"
2021-01-02,-WORTEL,kg,9800,9800,0,"0,00%"
2021-01-02,-BUNCIS,kg,10800,10800,0,"0,00%"
2021-01-02,-Semen Gresik,40 Kg,57000,57000,0,"0,00%"
2021-01-02,-Semen Tiga Roda,40 Kg,46000,46000,0,"0,00%"
2021-01-02,-Semen Padang,40 Kg,41000,41000,0,"0,00%"
2021-01-02,-Semen Tonasa,40 Kg,0,0,-,-
2021-01-02,-Semen Bosowa,40 Kg,47000,47000,0,"0,00%"
2021-01-02,-Semen Dynamix,40 Kg,0,0,-,-
2021-01-02,IKAN SEGAR,,0,0,,
2021-01-02,-Ikan Bandeng,kg,31200,31200,0,"0,00%"
2021-01-02,-Ikan Kembung,kg,33200,33200,0,"0,00%"
2021-01-02,-Ikan Tuna,kg,34250,34250,0,"0,00%"
2021-01-02,-Ikan Tongkol,kg,33200,33200,0,"0,00%"
2021-01-02,-Ikan Cakalang,kg,33333,33333,0,"0,00%"
2021-01-02,-KAYU BALOK MERANTI (4 X 10),Btg,0,0,-,-
2021-01-02,-Papan Meranti (4m X 3cm X 20mm),Lembar,0,0,-,-
2021-01-02,-TRIPLEK (6MM),lembar,61500,61500,0,"0,00%"
2021-01-02,-Besi Beton 6 mm (12/9m),Btg,30666,30666,0,"0,00%"
2021-01-02,-Besi Beton 8 mm (12/9m),Btg,52500,52500,0,"0,00%"
2021-01-02,-Besi Beton 10 mm (12/9m),Btg,75033,75033,0,"0,00%"
2021-01-02,-Besi Beton 12 mm (12/9m),Btg,105333,105333,0,"0,00%"
2021-01-02,-Paku Ukuran 10Cm,Kg,17000,17000,0,"0,00%"
2021-01-02,-Paku Ukuran 2 Cm,Kg,18000,18000,0,"0,00%"
2021-01-02,-Paku Ukuran 3Cm,Kg,17000,17000,0,"0,00%"
2021-01-02,-Paku Ukuran 4Cm,kg,18000,18000,0,"0,00%"
2021-01-02,-Paku Ukuran 5Cm,Kg,18166,18166,0,"0,00%"
2021-01-02,-Paku Ukuran 7Cm,Kg,18500,18500,0,"0,00%"
2021-01-02,-GAS ELPIGI 3 Kg,Kg,20250,20250,0,"0,00%"
2021-01-02,-Pupuk KCL Non Subsidi,Kg,14000,14000,0,"0,00%"
2021-01-02,-Pupuk NPK Non Subsidi,Kg,21000,21000,0,"0,00%"
2021-01-02,-Pupuk SP 35 Non Subsidi,Kg,11400,11400,0,"0,00%"
2021-01-02,-Pupuk Urea Non Subsidi,Kg,9000,9000,0,"0,00%"
2021-01-02,-Pupuk ZA Non Subsidi,Kg,11500,11500,0,"0,00%"
2021-01-03,BERAS,,0,0,,
2021-01-03,-Beras Premium,kg,15120,15120,0,"0,00%"
2021-01-03,-Beras Medium,kg,12020,12020,0,"0,00%"
2021-01-03,GULA,,0,0,,
2021-01-03,-Gula Kristal Putih,kg,16700,16700,0,"0,00%"
2021-01-03,MINYAK GORENG,,0,0,,
2021-01-03,-Minyak Goreng Curah,kg,19440,19440,0,"0,00%"
2021-01-03,-Minyak Goreng Kemasan Premium,1 liter,21500,21500,0,"0,00%"
2021-01-03,-Minyak Goreng Kemasan Sederhana,1 Liter,18625,18625,0,"0,00%"
2021-01-03,-Minyak Goreng MINYAKITA,1 Liter,15700,15700,0,"0,00%"
2021-01-03,DAGING,,0,0,,
2021-01-03,-Daging Sapi Paha Belakang,kg,123000,123000,0,"0,00%"
2021-01-03,-Daging Ayam Ras,kg,36600,36600,0,"0,00%"
2021-01-03,-Daging Ayam Kampung,ekor,58333,58333,0,"0,00%"
2021-01-03,TELUR AYAM,,0,0,,
2021-01-03,-Telur Ayam Ras,kg,28800,28800,0,"0,00%"
2021-01-03,-Telur Ayam Kampung,kg,42600,42600,0,"0,00%"
2021-01-03,SUSU,,0,0,,
2021-01-03,-Susu Kental Manis Merk Bendera,370 gr/kl,12125,12125,0,"0,00%"
2021-01-03,-Susu Kental Manis Merk Indomilk,370 gr/kl,12000,12000,0,"0,00%"
2021-01-03,SUSU BUBUK,,0,0,,
2021-01-03,-Susu Bubuk Merk Bendera (Instant),400 gr/dos,40500,40500,0,"0,00%"
2021-01-03,-Susu Bubuk Merk Indomilk (Instant),400 gr/dos,40000,40000,0,"0,00%"
2021-01-03,-Jagung Pipilan Kering,kg,7375,7375,0,"0,00%"
2021-01-03,GARAM BERYODIUM,,0,0,,
2021-01-03,-Bata,Buah,1000,1000,0,"0,00%"
2021-01-03,-Halus,kg,9000,9000,0,"0,00%"
2021-01-03,TEPUNG TERIGU,,0,0,,
2021-01-03,-Terigu Protein Sedang (Kemasan),kg,12000,12000,0,"0,00%"
2021-01-03,-Kedelai Impor,kg,11600,11600,0,"0,00%"
2021-01-03,-Kedelai Lokal,kg,0,0,-,-
2021-01-03,-Indomie Rasa Kari Ayam,Bungkus,2975,2975,0,"0,00%"
2021-01-03,-Cabe Merah Keriting,kg,28000,28000,0,"0,00%"
2021-01-03,-Cabe Merah Besar,kg,30400,30400,0,"0,00%"
2021-01-03,-Cabe Rawit Merah,kg,99600,98600,-1000,"-1,00%"
2021-01-03,BAWANG,,0,0,,
2021-01-03,-Bawang Merah,kg,38400,38400,0,"0,00%"
2021-01-03,-Bawang Putih Sinco/Honan,kg,30600,30600,0,"0,00%"
2021-01-03,-Ikan Asin Teri,kg,110000,110000,0,"0,00%"
2021-01-03,-KACANG HIJAU,kg,26400,26400,0,"0,00%"
2021-01-03,-KACANG TANAH,kg,33200,32800,-400,"-1,20%"
2021-01-03,-KETELA POHON,kg,3375,3375,0,"0,00%"
2021-01-03,-KOL/KUBIS,kg,8200,8200,0,"0,00%"
2021-01-03,-KENTANG,kg,13600,13600,0,"0,00%"
2021-01-03,-Tomat Merah,kg,8800,8800,0,"0,00%"
2021-01-03,-WORTEL,kg,9800,9800,0,"0,00%"
2021-01-03,-BUNCIS,kg,10800,10800,0,"0,00%"
2021-01-03,-Semen Gresik,40 Kg,57000,57000,0,"0,00%"
2021-01-03,-Semen Tiga Roda,40 Kg,46000,46000,0,"0,00%"
2021-01-03,-Semen Padang,40 Kg,41000,41000,0,"0,00%"
2021-01-03,-Semen Tonasa,40 Kg,0,0,-,-
2021-01-03,-Semen Bosowa,40 Kg,47000,47000,0,"0,00%"
2021-01-03,-Semen Dynamix,40 Kg,0,0,-,-
2021-01-03,IKAN SEGAR,,0,0,,
2021-01-03,-Ikan Bandeng,kg,31200,31200,0,"0,00%"
2021-01-03,-Ikan Kembung,kg,33200,33200,0,"0,00%"
2021-01-03,-Ikan Tuna,kg,34250,34250,0,"0,00%"
2021-01-03,-Ikan Tongkol,kg,33200,33200,0,"0,00%"
2021-01-03,-Ikan Cakalang,kg,33333,33333,0,"0,00%"
2021-01-03,-KAYU BALOK MERANTI (4 X 10),Btg,0,0,-,-
2021-01-03,-Papan Meranti (4m X 3cm X 20mm),Lembar,0,0,-,-
2021-01-03,-TRIPLEK (6MM),lembar,61500,61500,0,"0,00%"
2021-01-03,-Besi Beton 6 mm (12/9m),Btg,30666,30666,0,"0,00%"
2021-01-03,-Besi Beton 8 mm (12/9m),Btg,52500,52500,0,"0,00%"
2021-01-03,-Besi Beton 10 mm (12/9m),Btg,75033,75033,0,"0,00%"
2021-01-03,-Besi Beton 12 mm (12/9m),Btg,105333,105333,0,"0,00%"
2021-01-03,-Paku Ukuran 10Cm,Kg,17000,17000,0,"0,00%"
2021-01-03,-Paku Ukuran 2 Cm,Kg,18000,18000,0,"0,00%"
2021-01-03,-Paku Ukuran 3Cm,Kg,17000,17000,0,"0,00%"
2021-01-03,-Paku Ukuran 4Cm,kg,18000,18000,0,"0,00%"
2021-01-03,-Paku Ukuran 5Cm,Kg,18166,18166,0,"0,00%"
2021-01-03,-Paku Ukuran 7Cm,Kg,18500,18500,0,"0,00%"
2021-01-03,-GAS ELPIGI 3 Kg,Kg,20250,20250,0,"0,00%"
2021-01-03,-Pupuk KCL Non Subsidi,Kg,14000,14000,0,"0,00%"
2021-01-03,-Pupuk NPK Non Subsidi,Kg,21000,21000,0,"0,00%"
2021-01-03,-Pupuk SP 35 Non Subsidi,Kg,11400,11400,0,"0,00%"
2021-01-03,-Pupuk Urea Non Subsidi,Kg,9000,9000,0,"0,00%"
2021-01-03,-Pupuk ZA Non Subsidi,Kg,11500,11500,0,"0,00%"
2021-01-04,BERAS,,0,0,,
2021-01-04,-Beras Premium,kg,15120,15120,0,"0,00%"
2021-01-04,-Beras Medium,kg,12020,12020,0,"0,00%"
2021-01-04,GULA,,0,0,,
2021-01-04,-Gula Kristal Putih,kg,16700,16700,0,"0,00%"
2021-01-04,MINYAK GORENG,,0,0,,
2021-01-04,-Minyak Goreng Curah,kg,19440,19440,0,"0,00%"
2021-01-04,-Minyak Goreng Kemasan Premium,1 liter,21500,21500,0,"0,00%"
2021-01-04,-Minyak Goreng Kemasan Sederhana,1 Liter,18625,18625,0,"0,00%"
2021-01-04,-Minyak Goreng MINYAKITA,1 Liter,15700,15700,0,"0,00%"
2021-01-04,DAGING,,0,0,,
2021-01-04,-Daging Sapi Paha Belakang,kg,123000,123000,0,"0,00%"
2021-01-04,-Daging Ayam Ras,kg,36600,36600,0,"0,00%"
2021-01-04,-Daging Ayam Kampung,ekor,58333,58333,0,"0,00%"
2021-01-04,TELUR AYAM,,0,0,,
2021-01-04,-Telur Ayam Ras,kg,28800,28800,0,"0,00%"
2021-01-04,-Telur Ayam Kampung,kg,42600,42600,0,"0,00%"
2021-01-04,SUSU,,0,0,,
2021-01-04,-Susu Kental Manis Merk Bendera,370 gr/kl,12125,12125,0,"0,00%"
2021-01-04,-Susu Kental Manis Merk Indomilk,370 gr/kl,12000,12000,0,"0,00%"
2021-01-04,SUSU BUBUK,,0,0,,
2021-01-04,-Susu Bubuk Merk Bendera (Instant),400 gr/dos,40500,40500,0,"0,00%"
2021-01-04,-Susu Bubuk Merk Indomilk (Instant),400 gr/dos,40000,40000,0,"0,00%"
2021-01-04,-Jagung Pipilan Kering,kg,7375,7375,0,"0,00%"
2021-01-04,GARAM BERYODIUM,,0,0,,
2021-01-04,-Bata,Buah,1000,1000,0,"0,00%"
2021-01-04,-Halus,kg,9000,9000,0,"0,00%"
2021-01-04,TEPUNG TERIGU,,0,0,,
2021-01-04,-Terigu Protein Sedang (Kemasan),kg,12000,12000,0,"0,00%"
2021-01-04,-Kedelai Impor,kg,11600,11600,0,"0,00%"
2021-01-04,-Kedelai Lokal,kg,0,0,-,-
2021-01-04,-Indomie Rasa Kari Ayam,Bungkus,2975,2975,0,"0,00%"
2021-01-04,-Cabe Merah Keriting,kg,28000,28000,0,"0,00%"
2021-01-04,-Cabe Merah Besar,kg,30400,30400,0,"0,00%"
2021-01-04,-Cabe Rawit Merah,kg,99600,98600,-1000,"-1,00%"
2021-01-04,BAWANG,,0,0,,
2021-01-04,-Bawang Merah,kg,38400,38400,0,"0,00%"
2021-01-04,-Bawang Putih Sinco/Honan,kg,30600,30600,0,"0,00%"
2021-01-04,-Ikan Asin Teri,kg,110000,110000,0,"0,00%"
2021-01-04,-KACANG HIJAU,kg,26400,26400,0,"0,00%"
2021-01-04,-KACANG TANAH,kg,33200,32800,-400,"-1,20%"
2021-01-04,-KETELA POHON,kg,3375,3375,0,"0,00%"
2021-01-04,-KOL/KUBIS,kg,8200,8200,0,"0,00%"
2021-01-04,-KENTANG,kg,13600,13600,0,"0,00%"
2021-01-04,-Tomat Merah,kg,8800,8800,0,"0,00%"
2021-01-04,-WORTEL,kg,9800,9800,0,"0,00%"
2021-01-04,-BUNCIS,kg,10800,10800,0,"0,00%"
2021-01-04,-Semen Gresik,40 Kg,57000,57000,0,"0,00%"
2021-01-04,-Semen Tiga Roda,40 Kg,46000,46000,0,"0,00%"
2021-01-04,-Semen Padang,40 Kg,41000,41000,0,"0,00%"
2021-01-04,-Semen Tonasa,40 Kg,0,0,-,-
2021-01-04,-Semen Bosowa,40 Kg,47000,47000,0,"0,00%"
2021-01-04,-Semen Dynamix,40 Kg,0,0,-,-
2021-01-04,IKAN SEGAR,,0,0,,
2021-01-04,-Ikan Bandeng,kg,31200,31200,0,"0,00%"
2021-01-04,-Ikan Kembung,kg,33200,33200,0,"0,00%"
2021-01-04,-Ikan Tuna,kg,34250,34250,0,"0,00%"
2021-01-04,-Ikan Tongkol,kg,33200,33200,0,"0,00%"
2021-01-04,-Ikan Cakalang,kg,33333,33333,0,"0,00%"
2021-01-04,-KAYU BALOK MERANTI (4 X 10),Btg,0,0,-,-
2021-01-04,-Papan Meranti (4m X 3cm X 20mm),Lembar,0,0,-,-
2021-01-04,-TRIPLEK (6MM),lembar,61500,61500,0,"0,00%"
2021-01-04,-Besi Beton 6 mm (12/9m),Btg,30666,30666,0,"0,00%"
2021-01-04,-Besi Beton 8 mm (12/9m),Btg,52500,52500,0,"0,00%"
2021-01-04,-Besi Beton 10 mm (12/9m),Btg,75033,75033,0,"0,00%"
2021-01-04,-Besi Beton 12 mm (12/9m),Btg,105333,105333,0,"0,00%"
2021-01-04,-Paku Ukuran 10Cm,Kg,17000,17000,0,"0,00%"
2021-01-04,-Paku Ukuran 2 Cm,Kg,18000,18000,0,"0,00%"
2021-01-04,-Paku Ukuran 3Cm,Kg,17000,17000,0,"0,00%"
2021-01-04,-Paku Ukuran 4Cm,kg,18000,18000,0,"0,00%"
2021-01-04,-Paku Ukuran 5Cm,Kg,18166,18166,0,"0,00%"
2021-01-04,-Paku Ukuran 7Cm,Kg,18500,18500,0,"0,00%"
2021-01-04,-GAS ELPIGI 3 Kg,Kg,20250,20250,0,"0,00%"
2021-01-04,-Pupuk KCL Non Subsidi,Kg,14000,14000,0,"0,00%"
2021-01-04,-Pupuk NPK Non Subsidi,Kg,21000,21000,0,"0,00%"
2021-01-04,-Pupuk SP 35 Non Subsidi,Kg,11400,11400,0,"0,00%"
2021-01-04,-Pupuk Urea Non Subsidi,Kg,9000,9000,0,"0,00%"
2021-01-04,-Pupuk ZA Non Subsidi,Kg,11500,11500,0,"0,00%"
2021-01-05,BERAS,,0,0,,
2021-01-05,-Beras Premium,kg,15120,15120,0,"0,00%"
2021-01-05,-Beras Medium,kg,12020,12020,0,"0,00%"
2021-01-05,GULA,,0,0,,
2021-01-05,-Gula Kristal Putih,kg,16700,16700,0,"0,00%"
2021-01-05,MINYAK GORENG,,0,0,,
2021-01-05,-Minyak Goreng Curah,kg,19440,19440,0,"0,00%"
2021-01-05,-Minyak Goreng Kemasan Premium,1 liter,21500,21500,0,"0,00%"
2021-01-05,-Minyak Goreng Kemasan Sederhana,1 Liter,18625,18625,0,"0,00%"
2021-01-05,-Minyak Goreng MINYAKITA,1 Liter,15700,15700,0,"0,00%"
2021-01-05,DAGING,,0,0,,
2021-01-05,-Daging Sapi Paha Belakang,kg,123000,123000,0,"0,00%"
2021-01-05,-Daging Ayam Ras,kg,36600,36600,0,"0,00%"
2021-01-05,-Daging Ayam Kampung,ekor,58333,58333,0,"0,00%"
2021-01-05,TELUR AYAM,,0,0,,
2021-01-05,-Telur Ayam Ras,kg,28800,28800,0,"0,00%"
2021-01-05,-Telur Ayam Kampung,kg,42600,42600,0,"0,00%"
2021-01-05,SUSU,,0,0,,
2021-01-05,-Susu Kental Manis Merk Bendera,370 gr/kl,12125,12125,0,"0,00%"
2021-01-05,-Susu Kental Manis Merk Indomilk,370 gr/kl,12000,12000,0,"0,00%"
2021-01-05,SUSU BUBUK,,0,0,,
2021-01-05,-Susu Bubuk Merk Bendera (Instant),400 gr/dos,40500,40500,0,"0,00%"
2021-01-05,-Susu Bubuk Merk Indomilk (Instant),400 gr/dos,40000,40000,0,"0,00%"
2021-01-05,-Jagung Pipilan Kering,kg,7375,7375,0,"0,00%"
2021-01-05,GARAM BERYODIUM,,0,0,,
2021-01-05,-Bata,Buah,1000,1000,0,"0,00%"
2021-01-05,-Halus,kg,9000,9000,0,"0,00%"
2021-01-05,TEPUNG TERIGU,,0,0,,
2021-01-05,-Terigu Protein Sedang (Kemasan),kg,12000,12000,0,"0,00%"
2021-01-05,-Kedelai Impor,kg,11600,11600,0,"0,00%"
2021-01-05,-Kedelai Lokal,kg,0,0,-,-
2021-01-05,-Indomie Rasa Kari Ayam,Bungkus,2975,2975,0,"0,00%"
2021-01-05,-Cabe Merah Keriting,kg,28000,28000,0,"0,00%"
2021-01-05,-Cabe Merah Besar,kg,30400,30400,0,"0,00%"
2021-01-05,-Cabe Rawit Merah,kg,99600,98600,-1000,"-1,00%"
2021-01-05,BAWANG,,0,0,,
2021-01-05,-Bawang Merah,kg,38400,38400,0,"0,00%"
2021-01-05,-Bawang Putih Sinco/Honan,kg,30600,30600,0,"0,00%"
2021-01-05,-Ikan Asin Teri,kg,110000,110000,0,"0,00%"
2021-01-05,-KACANG HIJAU,kg,26400,26400,0,"0,00%"
2021-01-05,-KACANG TANAH,kg,33200,32800,-400,"-1,20%"
2021-01-05,-KETELA POHON,kg,3375,3375,0,"0,00%"
2021-01-05,-KOL/KUBIS,kg,8200,8200,0,"0,00%"
2021-01-05,-KENTANG,kg,13600,13600,0,"0,00%"
2021-01-05,-Tomat Merah,kg,8800,8800,0,"0,00%"
2021-01-05,-WORTEL,kg,9800,9800,0,"0,00%"
2021-01-05,-BUNCIS,kg,10800,10800,0,"0,00%"
2021-01-05,-Semen Gresik,40 Kg,57000,57000,0,"0,00%"
2021-01-05,-Semen Tiga Roda,40 Kg,46000,46000,0,"0,00%"
2021-01-05,-Semen Padang,40 Kg,41000,41000,0,"0,00%"
2021-01-05,-Semen Tonasa,40 Kg,0,0,-,-
2021-01-05,-Semen Bosowa,40 Kg,47000,47000,0,"0,00%"
2021-01-05,-Semen Dynamix,40 Kg,0,0,-,-
2021-01-05,IKAN SEGAR,,0,0,,
2021-01-05,-Ikan Bandeng,kg,31200,31200,0,"0,00%"
2021-01-05,-Ikan Kembung,kg,33200,33200,0,"0,00%"
2021-01-05,-Ikan Tuna,kg,34250,34250,0,"0,00%"
2021-01-05,-Ikan Tongkol,kg,33200,33200,0,"0,00%"
2021-01-05,-Ikan Cakalang,kg,33333,33333,0,"0,00%"
2021-01-05,-KAYU BALOK MERANTI (4 X 10),Btg,0,0,-,-
2021-01-05,-Papan Meranti (4m X 3cm X 20mm),Lembar,0,0,-,-
2021-01-05,-TRIPLEK (6MM),lembar,61500,61500,0,"0,00%"
2021-01-05,-Besi Beton 6 mm (12/9m),Btg,30666,30666,0,"0,00%"
2021-01-05,-Besi Beton 8 mm (12/9m),Btg,52500,52500,0,"0,00%"
2021-01-05,-Besi Beton 10 mm (12/9m),Btg,75033,75033,0,"0,00%"
2021-01-05,-Besi Beton 12 mm (12/9m),Btg,105333,105333,0,"0,00%"
2021-01-05,-Paku Ukuran 10Cm,Kg,17000,17000,0,"0,00%"
2021-01-05,-Paku Ukuran 2 Cm,Kg,18000,18000,0,"0,00%"
